미래시나리오순위,학교명,학교급,구,동,학생수,도시개발영향점수,도시개발영향순위,적격성점수,적격성순위,미래시나리오점수,현행운영여부,영향사업수,영향사업목록,lat,lon
1,산흥초등학교,초,동구,산내동,54,0.0,126,0.9941,1,0.6959,Y,0,,36.228975,127.4483897
2,기성초등학교길헌분교장,초,서구,기성동,7,0.0,126,0.9764,2,0.6835,Y,0,,36.241768,127.3164705
3,남선초등학교,초,유성구,진잠동,44,0.0,126,0.9576,3,0.6703,Y,0,,36.2873073,127.2646541
4,기성초등학교,초,서구,기성동,33,0.0,126,0.942,4,0.6594,Y,0,,36.2487568,127.3380289
5,기성중학교,중,서구,기성동,29,0.0,126,0.9379,5,0.6565,,0,,36.2499908,127.3411563
6,대전둔곡중학교,중,유성구,구즉동,79,0.0,126,0.9268,6,0.6488,,0,,36.4534382,127.3646634
7,세천초등학교,초,동구,대청동,47,0.0,126,0.895,7,0.6265,Y,0,,36.3415266,127.4937835
8,산서초등학교,초,중구,산성동,57,0.0,126,0.8869,8,0.6208,Y,0,,36.2668849,127.4093374
9,대전옥계초등학교,초,중구,석교동,109,0.3774,36,0.722,38,0.6186,,7,옥계동2(4_조합설립); 호동(4_조합설립); 옥계동3(6_입안); 옥계동4(6_입안); 석교동(6_입안); 가오동1(3_사업시행); 가오동2(1_공사중),36.3009946,127.4483618
10,대전둔곡초등학교,초,유성구,구즉동,428,0.0,126,0.8831,9,0.6182,,0,,36.4534382,127.3646634
11,신탄중앙중학교,중,대덕구,덕암동,265,0.0413,114,0.8605,13,0.6147,,2,덕암동1(5_초기); 신탄진동1(6_입안),36.4413849,127.4243139
12,산내초등학교,초,동구,산내동,395,0.0,126,0.8755,10,0.6128,Y,0,,36.2792732,127.4700311
13,신탄진중학교,중,대덕구,석봉동,409,0.0413,114,0.855,14,0.6109,,2,덕암동1(5_초기); 신탄진동1(6_입안),36.4475861,127.4225837
14,장동초등학교,초,대덕구,회덕동,38,0.0,126,0.8679,11,0.6075,Y,0,,36.4148625,127.4358274
15,동명초등학교,초,동구,대청동,46,0.0,126,0.8663,12,0.6064,Y,0,,36.3741217,127.4742921
16,대전자운중학교,중,유성구,신성동,98,0.0,126,0.8495,15,0.5946,,0,,36.4118922,127.3382419
17,신탄진용정초등학교,초,대덕구,신탄진동,384,0.0265,120,0.8306,16,0.5894,Y,1,신탄진동1(6_입안),36.4540033,127.4358676
18,대전석봉초등학교,초,대덕구,신탄진동,84,0.0265,120,0.8274,17,0.5871,,1,신탄진동1(6_입안),36.4470316,127.4347803
19,새일초등학교,초,대덕구,덕암동,149,0.0,126,0.826,18,0.5782,,0,,36.4317546,127.4195224
20,대전흥룡초등학교,초,동구,가양2동,288,0.5593,14,0.5787,104,0.5729,,9,성남동1(1_공사중); 성남동3(4_조합설립); 가양동1(4_조합설립); 자양동2(4_조합설립); 가양동3(6_입안); 가양동8(6_입안); 비래동1(6_입안); 가양동5(3_사업시행); 가양동7(1_공사중),36.3451544,127.4480505
21,대전자운초등학교,초,유성구,신성동,357,0.0,126,0.8176,19,0.5723,,0,,36.4123998,127.3387617
22,대전목상초등학교,초,대덕구,목상동,161,0.0343,118,0.8021,20,0.5718,,1,덕암동1(5_초기),36.4457981,127.4126245
23,대전변동중학교,중,서구,변동,284,0.6608,7,0.5216,147,0.5634,,12,도마·변동1(1_공사중); 도마·변동2(4_조합설립); 도마·변동3(2_관리처분); 도마·변동4(3_사업시행); 도마·변동5(3_사업시행); 도마·변동6(2_관리처분); 도마·변동6-1(4_조합설립); 도마·변동16(4_조합설립); 변동A(4_조합설립); 내동1(5_초기); 변동B(6_입안); 도마동1(6_입안),36.3244764,127.3759137
24,신탄진초등학교,초,대덕구,석봉동,263,0.0607,106,0.7773,25,0.5623,,2,덕암동1(5_초기); 신탄진동1(6_입안),36.4494593,127.4223133
25,동대전중학교,중,동구,가양2동,140,0.2055,75,0.7119,42,0.56,,5,가양동1(4_조합설립); 자양동2(4_조합설립); 가양동3(6_입안); 가양동8(6_입안); 가양동7(1_공사중),36.3451364,127.4559046
26,회덕중학교,중,대덕구,회덕동,111,0.0051,124,0.7964,21,0.559,,2,연축주공(9_미정); 신대주공(6_입안),36.4009441,127.4256826
27,대전가오중학교,중,동구,효동,531,0.23,64,0.6956,48,0.5559,,5,판암2(5_초기); 호동(4_조합설립); 옥계동4(6_입안); 가오동1(3_사업시행); 가오동2(1_공사중),36.308569,127.4570942
28,동명중학교,중,중구,석교동,119,0.2261,65,0.6953,49,0.5545,,5,부사동4(3_사업시행); 부사동5(9_미정); 문창석교1(5_초기); 석교동(6_입안); 가오동2(1_공사중),36.3084918,127.438432
29,대전은어송중학교,중,동구,산내동,733,0.0647,102,0.7625,30,0.5532,,3,옥계동2(4_조합설립); 옥계동3(6_입안); 옥계동4(6_입안),36.3004121,127.4609474
30,대전대문중학교,중,중구,문화2동,78,0.2956,55,0.6632,67,0.5529,,9,문화동5(9_미정); 문화동7(9_미정); 문화동8(1_공사중); 산성동1(4_조합설립); 산성동2(3_사업시행); 유천동3(4_조합설립); 유천동2(6_입안); 문화동10(6_입안); 유천동2(중복)(6_입안),36.3079485,127.4007655
31,대전변동초등학교,초,서구,변동,152,1.0,1,0.3598,215,0.5519,,16,도마·변동1(1_공사중); 도마·변동2(4_조합설립); 도마·변동3(2_관리처분); 도마·변동4(3_사업시행); 도마·변동5(3_사업시행); 도마·변동6(2_관리처분); 도마·변동6-1(4_조합설립); 도마·변동16(4_조합설립); 변동A(4_조합설립); 변동B(6_입안); 가장동1(6_입안); 태평동5(2_관리처분); 태평동6(9_미정); 태평동7(9_미정); 태평동8(9_미정); 삼부4(9_미정),36.3250319,127.3857104
32,대전덕명중학교,중,유성구,학하동,494,0.0,126,0.7868,22,0.5508,,0,,36.3458099,127.3027397
33,대전송강중학교,중,유성구,구즉동,292,0.0,126,0.7857,23,0.55,,0,,36.4376479,127.3816676
34,대전삼육중학교,중,서구,도마2동,163,0.392,28,0.6173,88,0.5497,,6,도마·변동6-1(4_조합설립); 도마·변동9(1_공사중); 도마·변동12(3_사업시행); 도마·변동13(3_사업시행); 복수동2(2_관리처분); 정림동1(5_초기),36.3115181,127.3727877
35,대전가양중학교,중,동구,가양2동,391,0.2772,59,0.6663,62,0.5496,,8,자양동2(4_조합설립); 가양동3(6_입안); 가양동8(6_입안); 송촌동1(6_입안); 비래동1(6_입안); 비래동3(6_입안); 가양동5(3_사업시행); 가양동7(1_공사중),36.3508171,127.4486567
36,와동초등학교,초,대덕구,회덕동,170,0.0051,124,0.7782,24,0.5463,,2,연축주공(9_미정); 신대주공(6_입안),36.3971876,127.4222878
37,구즉초등학교,초,유성구,구즉동,418,0.0,126,0.777,26,0.5439,Y,0,,36.4407059,127.3822122
38,성덕중학교,중,유성구,신성동,257,0.0,126,0.7749,27,0.5424,,0,,36.3866583,127.3448873
39,대전보운초등학교,초,중구,부사동,115,0.3901,29,0.6024,90,0.5387,,8,대사동1(3_사업시행); 대사동4(9_미정); 대흥동1(4_조합설립); 대흥2(1_공사중); 부사동4(3_사업시행); 부사동5(9_미정); 문창동2(4_조합설립); 문창석교1(5_초기),36.3143908,127.4318082
40,진잠중학교,중,유성구,진잠동,209,0.0,126,0.769,28,0.5383,,0,,36.2969898,127.3184051
41,동신중학교,중,동구,판암2동,71,0.054,112,0.7436,33,0.5367,,2,판암2(5_초기); 판암6(5_초기),36.3200355,127.459643
42,학하초등학교,초,유성구,학하동,156,0.0,126,0.766,29,0.5362,,0,,36.3343471,127.3122319
43,대전대성여자중학교,중,동구,가양1동,184,0.4161,25,0.5836,102,0.5334,,7,대동4·8(3_사업시행); 성남동3(4_조합설립); 중앙1(2_관리처분); 대전역복합2(3_사업시행); 대전역삼성4(2_관리처분); 신안1(5_초기); 가양동1(4_조합설립),36.3368783,127.4416481
44,한밭중학교,중,동구,삼성동,74,0.6162,10,0.497,164,0.5328,,10,중앙1(2_관리처분); 대전역복합2(3_사업시행); 대전역삼성4(2_관리처분); 삼성1(3_사업시행); 삼성3(5_초기); 삼성6(4_조합설립); 선화1-A(5_초기); 선화2(2_관리처분); 은행1(3_사업시행); 삼성동1(3_사업시행),36.3351481,127.4264779
45,덕송초등학교,초,유성구,학하동,157,0.0,126,0.7572,31,0.53,,0,,36.3611802,127.3019117
45,대전문지중학교,중,유성구,전민동,190,0.0,126,0.7572,31,0.53,,0,,36.3968298,127.3990807
47,대전새여울초등학교,초,대덕구,석봉동,881,0.0607,106,0.73,37,0.5292,,2,덕암동1(5_초기); 신탄진동1(6_입안),36.4517219,127.4224192
48,우송중학교,중,동구,자양동,189,0.3719,37,0.5874,100,0.5228,,6,대동4·8(3_사업시행); 중앙1(2_관리처분); 대전역복합2(3_사업시행); 대전역삼성4(2_관리처분); 신안1(5_초기); 가양동1(4_조합설립),36.3348585,127.4433667
49,동대전초등학교,초,동구,가양2동,401,0.3618,40,0.5912,98,0.5224,,8,가양동3(6_입안); 가양동8(6_입안); 송촌동1(6_입안); 비래동1(6_입안); 비래동2(6_입안); 비래동3(6_입안); 가양동5(3_사업시행); 가양동7(1_공사중),36.3519283,127.4492505
50,대전두리중학교,중,유성구,구즉동,468,0.0,126,0.7432,34,0.5202,,0,,36.428809,127.3820834
51,청란여자중학교,중,중구,부사동,20,0.1771,81,0.6671,60,0.5201,,6,대사동1(3_사업시행); 대사동4(9_미정); 대흥동1(4_조합설립); 부사동4(3_사업시행); 부사동5(9_미정); 문창석교1(5_초기),36.3109466,127.4296172
52,동방여자중학교,중,서구,복수동,297,0.3622,39,0.5866,101,0.5193,,5,도마·변동9(1_공사중); 도마·변동12(3_사업시행); 도마·변동13(3_사업시행); 복수동2(2_관리처분); 정림동1(5_초기),36.3063449,127.3744993
53,대전신일중학교,중,중구,부사동,300,0.1757,82,0.6664,61,0.5192,,5,대사동1(3_사업시행); 부사동4(3_사업시행); 부사동5(9_미정); 문창석교1(5_초기); 석교동(6_입안),36.3091404,127.4345299
54,금성초등학교,초,유성구,신성동,338,0.0,126,0.7385,35,0.517,,0,,36.3893002,127.3500818
55,대전새미래중학교,중,유성구,노은3동,406,0.0,126,0.7324,36,0.5127,,0,,36.3792504,127.3050716
56,대전유천초등학교,초,서구,도마2동,485,0.7199,4,0.42,201,0.51,,9,도마·변동5(3_사업시행); 도마·변동6(2_관리처분); 도마·변동6-1(4_조합설립); 도마·변동9(1_공사중); 도마·변동12(3_사업시행); 도마·변동13(3_사업시행); 도마·변동16(4_조합설립); 복수동2(2_관리처분); 정림동1(5_초기),36.3141096,127.3754395
